cohort	module	n_cases	n_controls	mean_case	mean_control	effect_case_vs_control	welch_t	p_value	fdr	direction
GSE111006_HSS	autophagy	4	28	-0.1475939320321079	-0.034437970191324066	-0.11315596184078384	-0.5360248418931749	0.6233018306984749	0.8809784004188521	case_down
GSE111006_HSS	contractile	4	28	-0.511552692257379	0.07217000838043396	-0.583722700637813	-1.5988020813523225	0.19974431526706582	0.8774143660791192	case_down
GSE111006_HSS	ecm	4	28	0.40131656715625474	0.024788202837205068	0.3765283643190497	0.7584814714208467	0.4935455809195045	0.8774143660791192	case_up
GSE111006_HSS	inflammation	4	28	0.3329706172946907	0.029814987093706058	0.3031556302009846	1.4762492450063376	0.1966801276373888	0.8774143660791192	case_up
GSE111006_HSS	mitochondrial	4	28	-0.4452585066216823	0.05696752871190826	-0.5022260353335906	-0.6894360933876043	0.5381884752929101	0.8809784004188521	case_down
GSE111006_HSS	proteostasis	4	28	-0.22265000219002062	0.01292363984531011	-0.23557364203533074	-1.0625130482935592	0.35413501443386003	0.8774143660791192	case_down
GSE111006_HSS	senescence	4	28	0.36122278846871814	-0.061410555946730526	0.42263334441544864	2.5273857468011975	0.07138970302599242	0.5302032904898872	case_up
GSE111006_HSS	stemness	4	28	0.22417093866676568	0.04826901335499713	0.17590192531176857	0.5419045004873482	0.6216039507135552	0.8809784004188521	case_up
GSE111010_JSS	autophagy	9	14	-0.15608890959855146	0.018710388628323613	-0.17479929822687507	-0.9041505355589572	0.3813125972580038	0.8774143660791192	case_down
GSE111010_JSS	contractile	9	14	-0.09161479044049077	0.0870949903610054	-0.1787097808014962	-0.7463625290722895	0.4638656505104229	0.8774143660791192	case_down
GSE111010_JSS	ecm	9	14	0.10722207262231563	-0.22232280731957982	0.32954487994189546	0.8225964893440142	0.42457554886081544	0.8774143660791192	case_up
GSE111010_JSS	inflammation	9	14	0.0019096158909106696	-0.031033807890687416	0.032943423781598084	0.22143880793283335	0.8269238900236987	0.8809784004188521	case_up
GSE111010_JSS	mitochondrial	9	14	-0.0010506879369120178	0.056239498510047205	-0.05729018644695922	-0.21363985722896184	0.8328992403592015	0.8809784004188521	case_down
GSE111010_JSS	proteostasis	9	14	-0.13981453094129967	0.14030268777438057	-0.28011721871568024	-1.824352570867662	0.08284426413904489	0.5302032904898872	case_down
GSE111010_JSS	senescence	9	14	0.04697576264583763	0.017530062302781233	0.029445700343056398	0.18735676051517655	0.853447825405763	0.8809784004188521	case_up
GSE111010_JSS	stemness	9	14	0.04988311834257533	0.005690086289107895	0.04419303205346744	0.22349679775145304	0.8253808008140248	0.8809784004188521	case_up
GSE111016_SSS	autophagy	20	20	-0.07318717347640012	0.07318717347640277	-0.14637434695280288	-0.9856317912661261	0.33071973230086077	0.8774143660791192	case_down
GSE111016_SSS	contractile	20	20	-0.03645649242770957	0.03645649242771223	-0.0729129848554218	-0.8526280029843126	0.400223638192293	0.8774143660791192	case_down
GSE111016_SSS	ecm	20	20	0.0533326822801478	-0.053332682280147516	0.10666536456029532	0.4319326237003556	0.6683494157573134	0.8809784004188521	case_up
GSE111016_SSS	inflammation	20	20	-0.022052615421304593	0.022052615421304978	-0.044105230842609575	-0.29244352009687224	0.7716090827799329	0.8809784004188521	case_down
GSE111016_SSS	mitochondrial	20	20	-0.30565794470283575	0.30565794470283636	-0.611315889405672	-2.7072776775477307	0.010414554836663793	0.1666328773866207	case_down
GSE111016_SSS	proteostasis	20	20	-0.08200406940403428	0.08200406940403185	-0.16400813880806614	-1.179228720403884	0.24565339964574776	0.8774143660791192	case_down
GSE111016_SSS	senescence	20	20	0.02359650387933554	-0.023596503879335897	0.04719300775867144	0.3155794035522858	0.7540854399847468	0.8809784004188521	case_up
GSE111016_SSS	stemness	20	20	-0.03718427655898789	0.03718427655898539	-0.07436855311797327	-0.5617557713955497	0.5777923461340724	0.8809784004188521	case_down
GSE226151	autophagy	20	20	0.05585195348745757	-0.07073213191077757	0.12658408539823512	0.7352552334353034	0.46730051769376063	0.8774143660791192	case_up
GSE226151	contractile	20	20	-0.04878116371572973	0.016126750445283257	-0.06490791416101299	-0.36025048243734786	0.720803957546975	0.8809784004188521	case_down
GSE226151	ecm	20	20	0.010880107115683912	-0.03943286470948596	0.050312971825169875	0.212151126434281	0.8331267961975979	0.8809784004188521	case_up
GSE226151	inflammation	20	20	0.2262347285967318	-0.16902609881399555	0.3952608274107273	1.9026077248679456	0.06913511792777463	0.5302032904898872	case_up
GSE226151	mitochondrial	20	20	-0.24809865784397006	0.18030341184536783	-0.4284020696893379	-3.0134608532608445	0.004654577215167061	0.14894647088534596	case_down
GSE226151	proteostasis	20	20	0.10015397834770753	-0.07500286620517652	0.17515684455288405	0.9857457608276056	0.3307929135864147	0.8774143660791192	case_up
GSE226151	senescence	20	20	0.05392093600515058	-0.07270335645024394	0.12662429245539453	0.789852568759632	0.4349451861482629	0.8774143660791192	case_up
GSE226151	stemness	20	20	0.013423189816005442	0.001059505325442428	0.012363684490563014	0.09306810651674476	0.9263446430729081	0.9263446430729081	case_up
